station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
MCJ,2020-01-01 00:15,57.20,17.60,20.99,0.00,0.00,0.00,30.15,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,57.20,KMCJ 010015Z AUTO 00000KT 10SM CLR 14/M08 A3015 RMK A01,M
MCJ,2020-01-01 00:35,57.20,17.60,20.99,0.00,0.00,0.00,30.15,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,57.20,KMCJ 010035Z AUTO 00000KT 10SM CLR 14/M08 A3015 RMK A01,M
MCJ,2020-01-01 00:55,57.20,19.40,22.68,0.00,0.00,0.00,30.15,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,57.20,KMCJ 010055Z AUTO 00000KT 10SM CLR 14/M07 A3015 RMK A01,M
MCJ,2020-01-01 01:15,57.20,19.40,22.68,0.00,0.00,0.00,30.15,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,57.20,KMCJ 010115Z AUTO 00000KT 10SM CLR 14/M07 A3015 RMK A01,M
MCJ,2020-01-01 01:35,55.40,19.40,24.21,0.00,0.00,0.00,30.16,M,10.00,M,FEW,M,M,M,6500.00,M,M,M,M,M,M,M,M,M,M,55.40,KMCJ 010135Z AUTO 00000KT 10SM FEW065 13/M07 A3016 RMK A01,M
MCJ,2020-01-01 01:55,57.20,21.20,24.49,0.00,0.00,0.00,30.15,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,57.20,KMCJ 010155Z AUTO 00000KT 10SM CLR 14/M06 A3015 RMK A01,M
MCJ,2020-01-01 02:15,55.40,21.20,26.13,0.00,0.00,0.00,30.16,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,55.40,KMCJ 010215Z AUTO 00000KT 10SM CLR 13/M06 A3016 RMK A01,M
MCJ,2020-01-01 02:35,55.40,21.20,26.13,0.00,0.00,0.00,30.15,M,4.00,M,CLR,M,M,M,M,M,M,M,HZ,M,M,M,M,M,M,55.40,KMCJ 010235Z AUTO 00000KT 4SM HZ CLR 13/M06 A3015 RMK A01,M
MCJ,2020-01-01 02:55,55.40,21.20,26.13,0.00,0.00,0.00,30.16,M,8.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,55.40,KMCJ 010255Z AUTO 00000KT 8SM CLR 13/M06 A3016 RMK A01,M
MCJ,2020-01-01 03:15,55.40,21.20,26.13,0.00,0.00,0.00,30.16,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,55.40,KMCJ 010315Z AUTO 00000KT 10SM CLR 13/M06 A3016 RMK A01,M
MCJ,2020-01-01 03:35,55.40,23.00,28.20,M,3.00,0.00,30.15,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,55.40,KMCJ 010335Z AUTO VRB03KT 10SM CLR 13/M05 A3015 RMK A01,M
MCJ,2020-01-01 03:55,55.40,26.60,32.76,M,3.00,0.00,30.15,M,5.00,10.00,CLR,M,M,M,M,M,M,M,HZ,M,M,M,M,M,M,55.40,KMCJ 010355Z AUTO VRB03G10KT 5SM HZ CLR 13/M03 A3015 RMK A01,M
MCJ,2020-01-01 04:15,55.40,28.40,35.28,M,4.00,0.00,30.16,M,10.00,M,SCT,M,M,M,6000.00,M,M,M,M,M,M,M,M,M,M,55.40,KMCJ 010415Z AUTO VRB04KT 10SM SCT060 13/M02 A3016 RMK A01,M
MCJ,2020-01-01 04:35,55.40,28.40,35.28,M,3.00,0.00,30.16,M,9.00,M,OVC,M,M,M,6000.00,M,M,M,M,M,M,M,M,M,M,55.40,KMCJ 010435Z AUTO VRB03KT 9SM OVC060 13/M02 A3016 RMK A01,M
